city,state,geoid,Total housing units,Vacant housing units,Occupied housing units,Owner occupied housing units,Renter occupied housing units,Median gross rent,Total households,Family households,Family households - Married couple family,Family households - Other family,"Family households - Other family - M householder,no wife","Family households - Other family - F householder,no husband",Nonfamily households,Nonfamily households - Householder living alone,Nonfamily households - Householder not living alone,Total household population,In family households,In family households - married couple,In family households - married couple - Relatives,In family households - married couple - Nonrelatives,"In family households - M householder,no wife","In family households - M householder,no wife - Relatives","In family households - M householder,no wife - Nonrelatives","In family households - F householder,no husband","In family households - F householder,no husband - Relatives","In family households - F householder,no husband - Nonrelatives",In nonfamily households
"Dunellen","New Jersey","16000US3418490",2857.0,236.0,2621.0,1810.0,811.0,1220.0,2621.0,1894.0,1315.0,579.0,150.0,429.0,727.0,455.0,272.0,7213.0,6152.0,4437.0,4418.0,19.0,409.0,349.0,60.0,1306.0,1246.0,60.0,1061.0
"East Franklin","New Jersey","16000US3419130",2993.0,285.0,2708.0,1499.0,1209.0,1395.0,2708.0,2062.0,1428.0,634.0,114.0,520.0,646.0,538.0,108.0,8915.0,8116.0,5774.0,5774.0,0.0,436.0,332.0,104.0,1906.0,1831.0,75.0,799.0
"East Freehold","New Jersey","16000US3419150",1775.0,48.0,1727.0,1570.0,157.0,1152.0,1727.0,1454.0,1275.0,179.0,46.0,133.0,273.0,247.0,26.0,5586.0,5287.0,4746.0,4715.0,31.0,125.0,125.0,0.0,416.0,404.0,12.0,299.0
"East Millstone","New Jersey","16000US3419330",307.0,41.0,266.0,223.0,43.0,,266.0,172.0,172.0,0.0,0.0,0.0,94.0,79.0,15.0,556.0,445.0,445.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0
"East Newark","New Jersey","16000US3419360",774.0,54.0,720.0,213.0,507.0,1144.0,720.0,554.0,357.0,197.0,78.0,119.0,166.0,111.0,55.0,2294.0,1975.0,1285.0,1270.0,15.0,243.0,211.0,32.0,447.0,405.0,42.0,319.0
"East Orange","New Jersey","16000US3419390",31716.0,5822.0,25894.0,6658.0,19236.0,942.0,25894.0,13853.0,5737.0,8116.0,2117.0,5999.0,12041.0,10483.0,1558.0,63155.0,48967.0,20765.0,20654.0,111.0,7201.0,6096.0,1105.0,21001.0,20061.0,940.0,14188.0
"East Rocky Hill","New Jersey","16000US3419490",155.0,0.0,155.0,91.0,64.0,1196.0,155.0,106.0,106.0,0.0,0.0,0.0,49.0,49.0,0.0,310.0,261.0,261.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
"East Rutherford","New Jersey","16000US3419510",4175.0,206.0,3969.0,1614.0,2355.0,1361.0,3969.0,2335.0,1677.0,658.0,167.0,491.0,1634.0,1431.0,203.0,8825.0,6937.0,5019.0,4932.0,87.0,578.0,578.0,0.0,1340.0,1308.0,32.0,1888.0
"Eatontown","New Jersey","16000US3419840",5704.0,416.0,5288.0,2889.0,2399.0,1166.0,5288.0,3047.0,2277.0,770.0,201.0,569.0,2241.0,1909.0,332.0,12331.0,9717.0,7537.0,7512.0,25.0,566.0,531.0,35.0,1614.0,1448.0,166.0,2614.0
"Echelon","New Jersey","16000US3419900",5417.0,319.0,5098.0,1972.0,3126.0,1056.0,5098.0,2512.0,1803.0,709.0,188.0,521.0,2586.0,2239.0,347.0,10444.0,7490.0,5475.0,5475.0,0.0,549.0,549.0,0.0,1466.0,1357.0,109.0,2954.0
