County,Municipality,DLGSCode,LD,CD,Area15,Area16,Area17,Area18,Dens15,Dens16,Dens17,Dens18,Pop15,Pop16,Pop17,Pop18,PopE15,PopE16,PopE17,PopE18,PopCh15,PopCh16,PopCh17,PopCh18
Burlington,Pemberton,328,8,3,0.58,0.58,0.58,0.58,2384,2348,2310,2293,1409,1409,1409,1409,1383,1362,1340,1330,-1.85,-3.34,-4.9,-5.61
Burlington,Pemberton Twp,329,8,3,61.28,61.28,61.28,61.28,453,450,446,442,27912,27912,27912,27912,27771,27567,27301,27071,-0.51,-1.24,-2.19,-3.01
Burlington,Riverside,330,7,3,1.49,1.49,1.49,1.49,5367,5316,5301,5258,8079,8079,8079,8079,7997,7921,7899,7834,-1.01,-1.96,-2.23,-3.03
Burlington,Riverton,331,7,3,0.66,0.66,0.66,0.66,4164,4111,4100,4068,2779,2779,2779,2779,2748,2713,2706,2685,-1.12,-2.37,-2.63,-3.38
Burlington,Shamong,332,8,3,44.39,44.39,44.39,44.39,145,145,145,144,6490,6490,6490,6490,6419,6453,6433,6382,-1.09,-0.57,-0.88,-1.66
Burlington,Southampton,333,8,3,43.67,43.67,43.67,43.67,237,234,234,232,10464,10464,10464,10464,10337,10235,10205,10124,-1.21,-2.19,-2.48,-3.25
Burlington,Springfield,334,8,3,29.94,29.94,29.94,29.94,112,111,110,109,3414,3414,3414,3414,3355,3315,3295,3268,-1.73,-2.9,-3.49,-4.28
Burlington,Tabernacle,335,9,3,49.12,49.12,49.12,49.12,142,140,140,139,6949,6949,6949,6949,6954,6892,6882,6822,0.07,-0.82,-0.96,-1.83
Burlington,Washington Twp,336,9,2,99.52,99.52,99.52,99.52,7,7,7,7,687,687,687,687,674,695,710,710,-1.89,1.16,3.35,3.35
Burlington,Westampton,337,8,3,11.03,11.03,11.03,11.03,791,796,794,787,8813,8813,8813,8813,8726,8781,8760,8682,-0.99,-0.36,-0.6,-1.49
Burlington,Willingboro,338,7,3,7.74,7.74,7.74,7.74,4040,4097,4142,4120,31629,31629,31629,31629,31270,31713,32062,31887,-1.14,0.27,1.37,0.82
Burlington,Woodland,339,8,3,94.56,94.56,94.56,94.56,19,19,19,19,1788,1788,1788,1788,1793,1778,1775,1769,0.28,-0.56,-0.73,-1.06
Burlington,Wrightstown,340,12,3,1.77,1.77,1.77,1.77,450,445,444,440,802,802,802,802,796,787,785,778,-0.75,-1.87,-2.12,-2.99
Camden,Audubon,401,5,1,1.49,1.49,1.49,1.49,5859,5857,5861,5811,8819,8819,8819,8819,8730,8727,8733,8659,-1.01,-1.04,-0.98,-1.81
Camden,Audubon Park,402,5,1,0.15,0.15,0.15,0.15,6740,6740,6747,6693,1023,1023,1023,1023,1011,1011,1012,1004,-1.17,-1.17,-1.08,-1.86
Camden,Barrington,403,5,1,1.61,1.61,1.61,1.61,4234,4219,4212,4151,6983,6983,6983,6983,6817,6792,6781,6683,-2.38,-2.74,-2.89,-4.3
Camden,Bellmawr,404,5,1,2.98,2.98,2.98,2.98,3846,3852,3855,3817,11583,11583,11583,11583,11462,11478,11489,11374,-1.04,-0.91,-0.81,-1.8
Camden,Berlin,405,8,1,3.59,3.59,3.59,3.59,2114,2115,2119,2104,7588,7588,7588,7588,7590,7594,7606,7554,0.03,0.08,0.24,-0.45
Camden,Berlin Twp,406,6,1,3.23,3.23,3.23,3.23,1682,1707,1728,1747,5357,5357,5357,5357,5434,5513,5580,5643,1.44,2.91,4.16,5.34
Camden,Brooklawn,407,5,1,0.49,0.49,0.49,0.49,3945,3943,3947,3902,1955,1955,1955,1955,1933,1932,1934,1912,-1.13,-1.18,-1.07,-2.2
Camden,Camden,408,5,1,8.92,8.92,8.92,8.92,8534,8343,8356,8293,77344,77344,77344,77344,76119,74420,74532,73973,-1.58,-3.78,-3.64,-4.36
Camden,Cherry Hill,409,6,1,24.1,24.1,24.1,24.1,2960,2961,2966,2946,71045,71045,71045,71045,71340,71352,71479,71009,0.42,0.43,0.61,-0.05
Camden,Chesilhurst,410,4,1,1.72,1.72,1.72,1.72,950,951,953,944,1634,1634,1634,1634,1634,1636,1639,1624,0,0.12,0.31,-0.61
Camden,Clementon,411,4,1,1.91,1.91,1.91,1.91,2590,2579,2596,2589,5000,5000,5000,5000,4947,4925,4959,4945,-1.06,-1.5,-0.82,-1.1
Camden,Collingswood,412,6,1,1.82,1.82,1.82,1.82,7692,7698,7707,7646,13926,13926,13926,13926,14000,14010,14027,13916,0.53,0.6,0.73,-0.07
Camden,Gibbsboro,413,6,1,2.18,2.18,2.18,2.18,1029,1031,1031,1022,2274,2274,2274,2274,2244,2248,2247,2228,-1.32,-1.14,-1.19,-2.02
Camden,Gloucester City,414,5,1,2.32,2.32,2.32,2.32,4883,4888,4889,4847,11456,11456,11456,11456,11329,11339,11342,11244,-1.11,-1.02,-1,-1.85
Camden,Gloucester Twp,415,4,1,22.98,22.98,22.98,22.98,2782,2782,2792,2780,64634,64634,64634,64634,63939,63941,64159,63884,-1.08,-1.07,-0.73,-1.16
Camden,Haddon Heights,418,5,1,1.57,1.57,1.57,1.57,4786,4805,4833,4803,7473,7473,7473,7473,7514,7544,7588,7541,0.55,0.95,1.54,0.91
