GEOID,pop2016
"34027045701",5998
"34027045703",3757
"34027045704",5180
"34027045804",5792
"34027045901",1593
"34027045902",7822
"34027046000",3209
"34027046103",5662
"34027046104",6633
"34027046105",8188
"34027046106",8386
"34027046201",6076
"34027046202",3637
"34027046297",3627
"34027046298",5181
"34027046300",5715
"34027046400",4945
"34029710100",4545
"34029711100",4225
"34029711200",4737
"34029711300",3981
"34029711400",5580
"34029712000",1333
"34029713000",4535
"34029713100",6356
"34029713201",2512
"34029713202",4081
"34029713203",4802
"34029713300",3917
"34029713401",4945
"34029713402",3331
"34029713500",2738
"34029713600",3656
"34029713700",2607
"34029713800",3397
"34029713900",6986
"34029714000",6398
"34029714100",3596
"34029714200",7144
"34029714300",3244
"34029714400",827
"34029715000",9981
"34029715200",12643
"34029715301",8882
"34029715302",6621
"34029715401",5280
"34029715402",5969
"34029715500",13081
"34029715600",8438
